id	cite	CTaxa	RTaxa	RDenUnit
1110	39935	Foglar H. J. C. Malausa and E. Wajnberg. 1990. THE FUNCTIONAL-RESPONSE AND PREFERENCE OF MACROLOPHUS-CALIGINOSUS HETEROPTERA MIRIDAE FOR 2 OF ITS PREY - MYZUS-PERSICAE AND TETRANYCHUS-URTICAE. Entomophaga 35:465-474.	Macrolophus caliginosus (Wagner)	Myzus persicae (Sulzer 1776)	Individuals per arena
1111	39935	Foglar H. J. C. Malausa and E. Wajnberg. 1990. THE FUNCTIONAL-RESPONSE AND PREFERENCE OF MACROLOPHUS-CALIGINOSUS HETEROPTERA MIRIDAE FOR 2 OF ITS PREY - MYZUS-PERSICAE AND TETRANYCHUS-URTICAE. Entomophaga 35:465-474.	Macrolophus caliginosus (Wagner)	Myzus persicae (Sulzer 1776)	Individuals per arena
1117	39936	Foglar H. J. C. Malausa and E. Wajnberg. 1990. THE FUNCTIONAL-RESPONSE AND PREFERENCE OF MACROLOPHUS-CALIGINOSUS HETEROPTERA MIRIDAE FOR 2 OF ITS PREY - MYZUS-PERSICAE AND TETRANYCHUS-URTICAE. Entomophaga 35:465-474.	Macrolophus caliginosus (Wagner)	Tetranychus urticae Koch 1836	Individuals per arena
1118	39936	Foglar H. J. C. Malausa and E. Wajnberg. 1990. THE FUNCTIONAL-RESPONSE AND PREFERENCE OF MACROLOPHUS-CALIGINOSUS HETEROPTERA MIRIDAE FOR 2 OF ITS PREY - MYZUS-PERSICAE AND TETRANYCHUS-URTICAE. Entomophaga 35:465-474.	Macrolophus caliginosus (Wagner)	Tetranychus urticae Koch 1836	Individuals per arena
1123	39937	Armitage M. J. and J. O. Young. 1991. THE FEEDING BIOLOGY OF THE TRICLAD PHAGOCATA-VITTA (DUGES) - A LABORATORY STUDY. Hydrobiologia 215:63-72.	Phagocata vitta (Duges)	Tubifex tubifex (Johannes Muller 1774)	Individuals per arena
1124	39937	Armitage M. J. and J. O. Young. 1991. THE FEEDING BIOLOGY OF THE TRICLAD PHAGOCATA-VITTA (DUGES) - A LABORATORY STUDY. Hydrobiologia 215:63-72.	Phagocata vitta (Duges)	Tubifex tubifex (Johannes Muller 1774)	Individuals per arena
1128	39938	Armitage M. J. and J. O. Young. 1991. THE FEEDING BIOLOGY OF THE TRICLAD PHAGOCATA-VITTA (DUGES) - A LABORATORY STUDY. Hydrobiologia 215:63-72.	Phagocata vitta (Duges)	Chironomus spp.	Individuals per arena
1129	39938	Armitage M. J. and J. O. Young. 1991. THE FEEDING BIOLOGY OF THE TRICLAD PHAGOCATA-VITTA (DUGES) - A LABORATORY STUDY. Hydrobiologia 215:63-72.	Phagocata vitta (Duges)	Chironomus spp.	Individuals per arena
1133	39939	Lundberg P. and K. Danell. 1990. FUNCTIONAL-RESPONSE OF BROWSERS - TREE EXPLOITATION BY MOOSE. Oikos 58:378-384.	Alces alces Gray 1821	Betula pubescens Ehrh. (twig)	g (body - wet) per square meter
1134	39939	Lundberg P. and K. Danell. 1990. FUNCTIONAL-RESPONSE OF BROWSERS - TREE EXPLOITATION BY MOOSE. Oikos 58:378-384.	Alces alces Gray 1821	Betula pubescens Ehrh. (twig)	g (body - wet) per square meter
1165	39940	Deblois E. M. and W. C. Leggett. 1991. FUNCTIONAL-RESPONSE AND POTENTIAL IMPACT OF INVERTEBRATE PREDATORS ON BENTHIC FISH EGGS - ANALYSIS OF THE CALLIOPIUS-LAEVIUSCULUS-CAPELIN (MALLOTUS-VILLOSUS) PREDATOR-PREY SYSTEM. Marine Ecology-Progress Series 69:205-216.	Calliopius laeviusculus (Kryer 1838)	Mallotus villosus Mller 1776	Individuals per arena
1166	39940	Deblois E. M. and W. C. Leggett. 1991. FUNCTIONAL-RESPONSE AND POTENTIAL IMPACT OF INVERTEBRATE PREDATORS ON BENTHIC FISH EGGS - ANALYSIS OF THE CALLIOPIUS-LAEVIUSCULUS-CAPELIN (MALLOTUS-VILLOSUS) PREDATOR-PREY SYSTEM. Marine Ecology-Progress Series 69:205-216.	Calliopius laeviusculus (Kryer 1838)	Mallotus villosus Mller 1776	Individuals per arena
1245	39941	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1246	39941	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1254	39942	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1255	39942	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1276	39943	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1277	39943	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1288	39944	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1289	39944	Hansen B. and K. W. Ockelmann. 1991. FEEDING-BEHAVIOR IN LARVAE OF THE OPISTHOBRANCH PHILINE-APERTA .1. GROWTH AND FUNCTIONAL-RESPONSE AT DIFFERENT DEVELOPMENTAL STAGES. Marine Biology 111:255-261.	Philine aperta (Linnaeus 1767)	Isochrysis galbana Parke	Individuals per microliter
1312	39945	Heong K. L. S. Bleih and E. G. Rubia. 1991. PREY PREFERENCE OF THE WOLF SPIDER PARDOSA-PSEUDOANNULATA (BOESENBERG ET STRAND). Researches on Population Ecology 33:179-186.	Pardosa pseudoannulata (Boesenberg et Strand)	Nilaparvata lugens (Stl 1854)	individuals per arena
1313	39945	Heong K. L. S. Bleih and E. G. Rubia. 1991. PREY PREFERENCE OF THE WOLF SPIDER PARDOSA-PSEUDOANNULATA (BOESENBERG ET STRAND). Researches on Population Ecology 33:179-186.	Pardosa pseudoannulata (Boesenberg et Strand)	Nilaparvata lugens (Stl 1854)	individuals per arena
1317	39946	Heong K. L. S. Bleih and E. G. Rubia. 1991. PREY PREFERENCE OF THE WOLF SPIDER PARDOSA-PSEUDOANNULATA (BOESENBERG ET STRAND). Researches on Population Ecology 33:179-186.	Pardosa pseudoannulata (Boesenberg et Strand)	Cyrtorhinus lividipennis Reuter 1885	individuals per arena
1318	39946	Heong K. L. S. Bleih and E. G. Rubia. 1991. PREY PREFERENCE OF THE WOLF SPIDER PARDOSA-PSEUDOANNULATA (BOESENBERG ET STRAND). Researches on Population Ecology 33:179-186.	Pardosa pseudoannulata (Boesenberg et Strand)	Cyrtorhinus lividipennis Reuter 1885	individuals per arena
1322	39947	Korpimaki E. and K. Norrdahl. 1991. NUMERICAL AND FUNCTIONAL-RESPONSES OF KESTRELS SHORT-EARED OWLS AND LONG-EARED OWLS TO VOLE DENSITIES. Ecology 72:814-826.	kestrels and owls	Microtus spp.	individuals per square km
1323	39947	Korpimaki E. and K. Norrdahl. 1991. NUMERICAL AND FUNCTIONAL-RESPONSES OF KESTRELS SHORT-EARED OWLS AND LONG-EARED OWLS TO VOLE DENSITIES. Ecology 72:814-826.	kestrels and owls	Microtus spp.	individuals per square km
1333	39948	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Baetis tricaudatus (Banks)	Navicula spp.	mg (body - dry) per square cm
1334	39948	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Baetis tricaudatus (Banks)	Navicula spp.	mg (body - dry) per square cm
1338	39949	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Ephemerella aurivilli	Navicula spp.	mg (body - dry) per square cm
1339	39949	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Ephemerella aurivilli	Navicula spp.	mg (body - dry) per square cm
1343	39950	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Paraleptophlebia heteronea (McDunnough)	Navicula spp.	mg (body - dry) per square cm
1344	39950	Scrimgeour G. J. J. M. Culp M. L. Bothwell F. J. Wrona and M. H. McKee. 1991. MECHANISMS OF ALGAL PATCH DEPLETION - IMPORTANCE OF CONSUMPTIVE AND NONCONSUMPTIVE LOSSES IN MAYFLY-DIATOM SYSTEMS. Oecologia 85:343-348.	Paraleptophlebia heteronea (McDunnough)	Navicula spp.	mg (body - dry) per square cm
1348	39951	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Lymnaea emarginata Say	individuals per arena
1349	39951	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Lymnaea emarginata Say	individuals per arena
1354	39952	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Lymnaea emarginata Say	individuals per arena
1355	39952	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Lymnaea emarginata Say	individuals per arena
1360	39953	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Helisoma anceps (Menke 1830)	individuals per arena
1361	39953	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Helisoma anceps (Menke 1830)	individuals per arena
1365	39954	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Physa gyrina (Say 1821)	individuals per arena
1366	39954	Bronmark C. 1992. LEECH PREDATION ON JUVENILE FRESH-WATER SNAILS - EFFECTS OF SIZE SPECIES AND SUBSTRATE. Oecologia 91:526-529.	Glossiphonia complanata (Linnaeus 1758)	Physa gyrina (Say 1821)	individuals per arena
1371	39955	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1372	39955	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1378	39956	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1379	39956	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1385	39957	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1386	39957	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1392	39958	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1393	39958	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1399	39959	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1400	39959	Dasilva P. G. K. S. Hagen and A. P. Gutierrez. 1992. FUNCTIONAL-RESPONSE OF CURINUS-COERULEUS (COL COCCINELLIDAE) TO HETEROPSYLLA-CUBANA (HOM PSYLLIDAE) ON ARTIFICIAL AND NATURAL SUBSTRATES. Entomophaga 37:555-564.	Curinus coeruleus (Mulsant 1850)	Heteropsylla cubana Crawford	individuals per arena
1406	39960	Eggleston D. B. R. N. Lipcius and A. H. Hines. 1992. DENSITY-DEPENDENT PREDATION BY BLUE CRABS UPON INFAUNAL CLAM SPECIES WITH CONTRASTING DISTRIBUTION AND ABUNDANCE PATTERNS. Marine Ecology-Progress Series 85:55-68.	Callinectes sapidus Rathbun 1896	Macoma balthica (Linnaeus 1758)	individuals per arena
1407	39960	Eggleston D. B. R. N. Lipcius and A. H. Hines. 1992. DENSITY-DEPENDENT PREDATION BY BLUE CRABS UPON INFAUNAL CLAM SPECIES WITH CONTRASTING DISTRIBUTION AND ABUNDANCE PATTERNS. Marine Ecology-Progress Series 85:55-68.	Callinectes sapidus Rathbun 1896	Macoma balthica (Linnaeus 1758)	individuals per arena
1412	39961	Lipcius R. N. and H. H. Anson. 1986. Variable Functional Responses of a Marine Predator in Dissimilar Homogeneous Microhabitats. Ecology 67:1361-1371.	Callinectes sapidus Rathbun 1896	Mya arenaria Linnaeus 1758	individuals per arena
1413	39961	Lipcius R. N. and H. H. Anson. 1986. Variable Functional Responses of a Marine Predator in Dissimilar Homogeneous Microhabitats. Ecology 67:1361-1371.	Callinectes sapidus Rathbun 1896	Mya arenaria Linnaeus 1758	individuals per arena
1418	39962	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1419	39962	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1424	39963	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1425	39963	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1434	39964	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1435	39964	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1439	39965	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1440	39965	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1448	39966	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1449	39966	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1458	39967	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1459	39967	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1462	39968	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1463	39968	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Alosa pseudoharengus (Wilson 1811)	Artemia spp.	individuals per Liter
1467	39969	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1468	39969	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1472	39970	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1473	39970	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1477	39971	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1478	39971	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Perca flavescens DO	Artemia spp.	individuals per Liter
1482	39972	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1483	39972	Miller T. J. L. B. Crowder J. A. Rice and F. P. Binkowski. 1992. BODY SIZE AND THE ONTOGENY OF THE FUNCTIONAL-RESPONSE IN FISHES. Canadian Journal of Fisheries and Aquatic Sciences 49:805-812.	Coregonus hoyi (Milner 1874)	Artemia spp.	individuals per Liter
1496	39973	Rothhaupt K. O. and W. Lampert. 1992. GROWTH-RATE DEPENDENT FEEDING RATES IN DAPHNIA-PULICARIA AND BRACHIONUS-RUBENS - ADAPTATION TO INTERMEDIATE TIME-SCALE VARIATIONS IN FOOD ABUNDANCE. Journal of Plankton Research 14:737-751.	Daphnia pulicaria Forbes 1893	Scenedesmus acutus Meyen ????	mg (Carbon) per liter
1497	39973	Rothhaupt K. O. and W. Lampert. 1992. GROWTH-RATE DEPENDENT FEEDING RATES IN DAPHNIA-PULICARIA AND BRACHIONUS-RUBENS - ADAPTATION TO INTERMEDIATE TIME-SCALE VARIATIONS IN FOOD ABUNDANCE. Journal of Plankton Research 14:737-751.	Daphnia pulicaria Forbes 1893	Scenedesmus acutus Meyen ????	mg (Carbon) per liter
1502	39974	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Pseudacris crucifer (Wied-Neuwied 1838)	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1503	39974	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Pseudacris crucifer (Wied-Neuwied 1838)	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1508	39975	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Bufo fowleri Hinckley 1882	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1509	39975	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Bufo fowleri Hinckley 1882	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1514	39976	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Rana catesbeiana Shaw 1802	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1515	39976	Seale D. B. and N. Beckvar. 1980. The Comparative Ability of Anuran Larvae (Genera: Hyla Bufo and Rana) to Ingest Suspended Blue-Green Algae. Copeia 1980:495-503.	Rana catesbeiana Shaw 1802	Anabaena sphaerica	cubic micrometer (wet cell biovolume) per milliliter
1521	39977	Winkler H. and C. Orellana. 1992. Functional responses of five cyprinid species to planktonic prey. Environmental Biology of Fishes 33:53-62.	Chalcalburnus chalcoides (Gldenstdt 1772)	Cyclops spp.	individuals per Liter
